source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
What is the seventh tallest mountain in North America?,Wie heißt der siebthöchste Berg Nordamerikas?,en,de,"['O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['What', 'is', 'the', 'seventh', 'tallest', 'mountain', 'in', 'North', 'America', '?']","['Wie', 'heißt', 'der', 'siebthöchste', 'Berg', 'Nordamerikas', '?']"
What year was the first book of the A Song of Ice and Fire series published?,"In welchem Jahr wurde das erste Buch der Reihe ""Das Lied von Eis und Feuer"" veröffentlicht?",en,de,"['O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O']","['O', 'B-DATE', 'I-DATE', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O']","['What', 'year', 'was', 'the', 'first', 'book', 'of', 'the', 'A', 'Song', 'of', 'Ice', 'and', 'Fire', 'series', 'published', '?']","['In', 'welchem', 'Jahr', 'wurde', 'das', 'erste', 'Buch', 'der', 'Reihe', '""', 'Das', 'Lied', 'von', 'Eis', 'und', 'Feuer', '""', 'veröffentlicht', '?']"
Who is the youngest current US governor?,Wer ist derzeit der jüngste amerikanische Gouverneur?,en,de,"['O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O']","['Who', 'is', 'the', 'youngest', 'current', 'US', 'governor', '?']","['Wer', 'ist', 'derzeit', 'der', 'jüngste', 'amerikanische', 'Gouverneur', '?']"
Has Bernie Sanders ever been president of the United States?,War Bernie Sanders jemals Präsident der Vereinigten Staaten?,en,de,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['Has', 'Bernie', 'Sanders', 'ever', 'been', 'president', 'of', 'the', 'United', 'States', '?']","['War', 'Bernie', 'Sanders', 'jemals', 'Präsident', 'der', 'Vereinigten', 'Staaten', '?']"
Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,Welcher Schauspieler war Stephanie Meyers erste Wahl für die Rolle des Edward Cullen in dem Film Twilight – Biss zum Morgengrauen?,en,de,"['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'B-ORDINAL', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O']","['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART']","['Which', 'actor', 'was', 'Stephenie', ""Meyer's"", 'first', 'choice', 'to', 'play', 'Edward', 'Cullen', 'in', 'the', 'movie', 'Twilight', '?']","['Welcher', 'Schauspieler', 'war', 'Stephanie', 'Meyers', 'erste', 'Wahl', 'für', 'die', 'Rolle', 'des', 'Edward', 'Cullen', 'in', 'dem', 'Film', 'Twilight', '–', 'Biss', 'zum', 'Morgengrauen', '?']"
Which river is longer than the Mississippi River?,Welcher Fluss ist länger als der Mississippi,en,de,"['O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']","['Which', 'river', 'is', 'longer', 'than', 'the', 'Mississippi', 'River', '?']","['Welcher', 'Fluss', 'ist', 'länger', 'als', 'der', 'Mississippi']"
What is the longest lake in the world?,Welcher See ist der längste der Welt?,en,de,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['What', 'is', 'the', 'longest', 'lake', 'in', 'the', 'world', '?']","['Welcher', 'See', 'ist', 'der', 'längste', 'der', 'Welt', '?']"
Is Texas the largest state in US?,Ist Texas der größte Bundesstaat in den Vereinigten Staaten?,en,de,"['O', 'B-GPE', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['O', 'B-GPE', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['Is', 'Texas', 'the', 'largest', 'state', 'in', 'US', '?']","['Ist', 'Texas', 'der', 'größte', 'Bundesstaat', 'in', 'den', 'Vereinigten', 'Staaten', '?']"
Who was the president of Argentina from 1989 to 1999?,Wer war von 1989 - 1999 Präsident von Argentinien?,en,de,"['O', 'O', 'O', 'O', 'O', 'B-GPE', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']","['O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'B-GPE', 'O']","['Who', 'was', 'the', 'president', 'of', 'Argentina', 'from', '1989', 'to', '1999', '?']","['Wer', 'war', 'von', '1989', '-', '1999', 'Präsident', 'von', 'Argentinien', '?']"
"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","Wer gehörte 2004 zur olympischen, Schwimmstaffel der Vereinigten Staaten und wurde in Baltimore, Maryland geboren?",en,de,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O']","['O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O', 'O']","['Who', 'was', 'a', 'member', 'of', 'the', '2004', 'U.S.', 'Olympic', ""men's"", 'swim', 'team', 'and', 'born', 'in', 'Baltimore', ',', 'Maryland', '?']","['Wer', 'gehörte', '2004', 'zur', 'olympischen', ',', 'Schwimmstaffel', 'der', 'Vereinigten', 'Staaten', 'und', 'wurde', 'in', 'Baltimore', ',', 'Maryland', 'geboren', '?']"
