source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
"Which actor was the star of Titanic and was born in Los Angeles, California?","¿Qué actor protagonizó Titanic y nació en Los Ángeles, California?",en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'O']","['O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'B-GPE', 'O']","['Which', 'actor', 'was', 'the', 'star', 'of', 'Titanic', 'and', 'was', 'born', 'in', 'Los', 'Angeles', ',', 'California', '?']","['¿', 'Qué', 'actor', 'protagonizó', 'Titanic', 'y', 'nació', 'en', 'Los', 'Ángeles', ',', 'California', '?']"
What year was the first book of the A Song of Ice and Fire series published?,¿En qué año se publicó el primer libro de la saga Canción de hielo y fuego?,en,es,"['O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O']","['O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['What', 'year', 'was', 'the', 'first', 'book', 'of', 'the', 'A', 'Song', 'of', 'Ice', 'and', 'Fire', 'series', 'published', '?']","['¿', 'En', 'qué', 'año', 'se', 'publicó', 'el', 'primer', 'libro', 'de', 'la', 'saga', 'Canción', 'de', 'hielo', 'y', 'fuego', '?']"
Which US president has had the most votes?,¿Qué presidente de Estados Unidos obtuvo más votos?,en,es,"['O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'O']","['Which', 'US', 'president', 'has', 'had', 'the', 'most', 'votes', '?']","['¿', 'Qué', 'presidente', 'de', 'Estados', 'Unidos', 'obtuvo', 'más', 'votos', '?']"
How long did it take to build the Lincoln Memorial?,¿En cuánto tiempo se construyó el Monumento a Lincoln?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAC', 'I-FAC', 'I-FAC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['How', 'long', 'did', 'it', 'take', 'to', 'build', 'the', 'Lincoln', 'Memorial', '?']","['¿', 'En', 'cuánto', 'tiempo', 'se', 'construyó', 'el', 'Monumento', 'a', 'Lincoln', '?']"
Has Bernie Sanders ever been president of the United States?,¿Bernie Sanders ha sido alguna vez presidente de los Estados Unidos?,en,es,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['Has', 'Bernie', 'Sanders', 'ever', 'been', 'president', 'of', 'the', 'United', 'States', '?']","['¿', 'Bernie', 'Sanders', 'ha', 'sido', 'alguna', 'vez', 'presidente', 'de', 'los', 'Estados', 'Unidos', '?']"
Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,¿Qué actor fue la primera opción de Stephanie Meyer para interpretar a Edward Cullen en la película Crepúsculo?,en,es,"['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'B-ORDINAL', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O']","['O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O']","['Which', 'actor', 'was', 'Stephenie', ""Meyer's"", 'first', 'choice', 'to', 'play', 'Edward', 'Cullen', 'in', 'the', 'movie', 'Twilight', '?']","['¿', 'Qué', 'actor', 'fue', 'la', 'primera', 'opción', 'de', 'Stephanie', 'Meyer', 'para', 'interpretar', 'a', 'Edward', 'Cullen', 'en', 'la', 'película', 'Crepúsculo', '?']"
What is the latest US state to be admitted to the union that is not Hawaii?,¿Cuál es el último estado de Estados Unidos en ser incorporado a la unión aparte de Hawái?,en,es,"['O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['What', 'is', 'the', 'latest', 'US', 'state', 'to', 'be', 'admitted', 'to', 'the', 'union', 'that', 'is', 'not', 'Hawaii', '?']","['¿', 'Cuál', 'es', 'el', 'último', 'estado', 'de', 'Estados', 'Unidos', 'en', 'ser', 'incorporado', 'a', 'la', 'unión', 'aparte', 'de', 'Hawái', '?']"
What is the longest lake in the world?,¿Cuál es el lago más largo del mundo?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['What', 'is', 'the', 'longest', 'lake', 'in', 'the', 'world', '?']","['¿', 'Cuál', 'es', 'el', 'lago', 'más', 'largo', 'del', 'mundo', '?']"
Is Texas the largest state in US?,¿Tejas es el estado más grande de Estados Unidos?,en,es,"['O', 'B-GPE', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O']","['Is', 'Texas', 'the', 'largest', 'state', 'in', 'US', '?']","['¿', 'Tejas', 'es', 'el', 'estado', 'más', 'grande', 'de', 'Estados', 'Unidos', '?']"
How many times have the Los Angeles Dodgers lost the World Series?,¿Cuántas veces perdieron los Dodgers de Los Ángeles la Serie Mundial?,en,es,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-GPE', 'I-GPE', 'O', 'B-EVENT', 'I-EVENT', 'O']","['How', 'many', 'times', 'have', 'the', 'Los', 'Angeles', 'Dodgers', 'lost', 'the', 'World', 'Series', '?']","['¿', 'Cuántas', 'veces', 'perdieron', 'los', 'Dodgers', 'de', 'Los', 'Ángeles', 'la', 'Serie', 'Mundial', '?']"
