source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
What is the seventh tallest mountain in North America?,Quelle est la septième plus haute montagne d’Amérique du Nord ?,en,fr,"['O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'O']","['What', 'is', 'the', 'seventh', 'tallest', 'mountain', 'in', 'North', 'America', '?']","['Quelle', 'est', 'la', 'septième', 'plus', 'haute', 'montagne', 'd', '’', 'Amérique', 'du', 'Nord', '?']"
Who is the youngest current US governor?,Qui est l’actuel plus jeune gouverneur américain ?,en,fr,"['O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O']","['Who', 'is', 'the', 'youngest', 'current', 'US', 'governor', '?']","['Qui', 'est', 'l', '’', 'actuel', 'plus', 'jeune', 'gouverneur', 'américain', '?']"
Has Bernie Sanders ever been president of the United States?,Bernie Sanders a-t-il déjà été Président des États-Unis ?,en,fr,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O']","['Has', 'Bernie', 'Sanders', 'ever', 'been', 'president', 'of', 'the', 'United', 'States', '?']","['Bernie', 'Sanders', 'a', '-', 't', '-', 'il', 'déjà', 'été', 'Président', 'des', 'États', '-', 'Unis', '?']"
Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,Quel acteur Stephanie Meyer a-t-elle choisi en premier pour jouer le rôle d’Edward Cullen dans le film Twilight ?,en,fr,"['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'B-ORDINAL', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O']","['O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O']","['Which', 'actor', 'was', 'Stephenie', ""Meyer's"", 'first', 'choice', 'to', 'play', 'Edward', 'Cullen', 'in', 'the', 'movie', 'Twilight', '?']","['Quel', 'acteur', 'Stephanie', 'Meyer', 'a', '-', 't', '-', 'elle', 'choisi', 'en', 'premier', 'pour', 'jouer', 'le', 'rôle', 'd', '’', 'Edward', 'Cullen', 'dans', 'le', 'film', 'Twilight', '?']"
Which river is longer than the Mississippi River?,Quel fleuve est plus long que le Mississippi ?,en,fr,"['O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['Which', 'river', 'is', 'longer', 'than', 'the', 'Mississippi', 'River', '?']","['Quel', 'fleuve', 'est', 'plus', 'long', 'que', 'le', 'Mississippi', '?']"
What is the latest US state to be admitted to the union that is not Hawaii?,Quel est le dernier État Américain à avoir été admis dans l’Union et qui n’est pas Hawaï ?,en,fr,"['O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['What', 'is', 'the', 'latest', 'US', 'state', 'to', 'be', 'admitted', 'to', 'the', 'union', 'that', 'is', 'not', 'Hawaii', '?']","['Quel', 'est', 'le', 'dernier', 'État', 'Américain', 'à', 'avoir', 'été', 'admis', 'dans', 'l', '’', 'Union', 'et', 'qui', 'n', '’', 'est', 'pas', 'Hawaï', '?']"
What is the longest lake in the world?,Quel est le lac le plus long du monde ?,en,fr,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['What', 'is', 'the', 'longest', 'lake', 'in', 'the', 'world', '?']","['Quel', 'est', 'le', 'lac', 'le', 'plus', 'long', 'du', 'monde', '?']"
How many times have the Los Angeles Dodgers lost the World Series?,Combien de fois les Dodgers de Los Angeles ont-ils perdu dans la série mondiale ?,en,fr,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['How', 'many', 'times', 'have', 'the', 'Los', 'Angeles', 'Dodgers', 'lost', 'the', 'World', 'Series', '?']","['Combien', 'de', 'fois', 'les', 'Dodgers', 'de', 'Los', 'Angeles', 'ont', '-', 'ils', 'perdu', 'dans', 'la', 'série', 'mondiale', '?']"
Who was the president of Argentina from 1989 to 1999?,"Qui était le Président de l’Argentine, de mille neuf cent quatre-vingt-neuf à mille neuf cent quatre-vingt-dix-neuf ?",en,fr,"['O', 'O', 'O', 'O', 'O', 'B-GPE', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'B-MONEY', 'I-MONEY', 'I-MONEY', 'I-MONEY', 'O', 'O', 'O', 'O', 'O', 'B-MONEY', 'I-MONEY', 'I-MONEY', 'I-MONEY', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Who', 'was', 'the', 'president', 'of', 'Argentina', 'from', '1989', 'to', '1999', '?']","['Qui', 'était', 'le', 'Président', 'de', 'l', '’', 'Argentine', ',', 'de', 'mille', 'neuf', 'cent', 'quatre', '-', 'vingt', '-', 'neuf', 'à', 'mille', 'neuf', 'cent', 'quatre', '-', 'vingt', '-', 'dix', '-', 'neuf', '?']"
"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","Quel membre de l’équipe olympique masculine de natation des États-Unis de 2004 est né à Baltimore, dans le Maryland ?",en,fr,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'O', 'B-DATE', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-GPE', 'O']","['Who', 'was', 'a', 'member', 'of', 'the', '2004', 'U.S.', 'Olympic', ""men's"", 'swim', 'team', 'and', 'born', 'in', 'Baltimore', ',', 'Maryland', '?']","['Quel', 'membre', 'de', 'l', '’', 'équipe', 'olympique', 'masculine', 'de', 'natation', 'des', 'États', '-', 'Unis', 'de', '2004', 'est', 'né', 'à', 'Baltimore', ',', 'dans', 'le', 'Maryland', '?']"
