source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
What year was the first book of the A Song of Ice and Fire series published?,In che anno venne pubblicato il primo libro della serie Cronache del Ghiaccio e del Fuoco?,en,it,"['O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O']","['O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART']","['What', 'year', 'was', 'the', 'first', 'book', 'of', 'the', 'A', 'Song', 'of', 'Ice', 'and', 'Fire', 'series', 'published', '?']","['In', 'che', 'anno', 'venne', 'pubblicato', 'il', 'primo', 'libro', 'della', 'serie', 'Cronache', 'del', 'Ghiaccio', 'e', 'del', 'Fuoco', '?']"
Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,Quale attore era stata la prima scelta di Stephanie Meyer per interpretare Edward Cullen nel film Twilight?,en,it,"['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'B-ORDINAL', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O']","['O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-WORK_OF_ART', 'O']","['Which', 'actor', 'was', 'Stephenie', ""Meyer's"", 'first', 'choice', 'to', 'play', 'Edward', 'Cullen', 'in', 'the', 'movie', 'Twilight', '?']","['Quale', 'attore', 'era', 'stata', 'la', 'prima', 'scelta', 'di', 'Stephanie', 'Meyer', 'per', 'interpretare', 'Edward', 'Cullen', 'nel', 'film', 'Twilight', '?']"
Which river is longer than the Mississippi River?,Quale fiume è più lungo del Mississippi?,en,it,"['O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['Which', 'river', 'is', 'longer', 'than', 'the', 'Mississippi', 'River', '?']","['Quale', 'fiume', 'è', 'più', 'lungo', 'del', 'Mississippi', '?']"
What is the longest lake in the world?,Qual è il lago più lungo del mondo?,en,it,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['What', 'is', 'the', 'longest', 'lake', 'in', 'the', 'world', '?']","['Qual', 'è', 'il', 'lago', 'più', 'lungo', 'del', 'mondo', '?']"
How many times have the Los Angeles Dodgers lost the World Series?,Quante volte i Los Angeles Dodgers hanno perso la Worls Series?,en,it,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['How', 'many', 'times', 'have', 'the', 'Los', 'Angeles', 'Dodgers', 'lost', 'the', 'World', 'Series', '?']","['Quante', 'volte', 'i', 'Los', 'Angeles', 'Dodgers', 'hanno', 'perso', 'la', 'Worls', 'Series', '?']"
"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","Chi era un membro della squadra olimpica di nuoto maschile americana del 2004 ed è nato a Baltimora, Maryland?",en,it,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O']","['Who', 'was', 'a', 'member', 'of', 'the', '2004', 'U.S.', 'Olympic', ""men's"", 'swim', 'team', 'and', 'born', 'in', 'Baltimore', ',', 'Maryland', '?']","['Chi', 'era', 'un', 'membro', 'della', 'squadra', 'olimpica', 'di', 'nuoto', 'maschile', 'americana', 'del', '2004', 'ed', 'è', 'nato', 'a', 'Baltimora', ',', 'Maryland', '?']"
Has there ever been a Christian U.S. senator?,C'è mai stato un senatore americano cristiano?,en,it,"['O', 'O', 'O', 'O', 'O', 'B-NORP', 'B-GPE', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-NORP', 'B-NORP', 'O']","['Has', 'there', 'ever', 'been', 'a', 'Christian', 'U.S.', 'senator', '?']","[""C'è"", 'mai', 'stato', 'un', 'senatore', 'americano', 'cristiano', '?']"
How many Pulitzer Prizes has Colson Whitehead won?,Quanti premi Pulitzer ha vinto Colson Whitehead?,en,it,"['O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O']","['O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['How', 'many', 'Pulitzer', 'Prizes', 'has', 'Colson', 'Whitehead', 'won', '?']","['Quanti', 'premi', 'Pulitzer', 'ha', 'vinto', 'Colson', 'Whitehead', '?']"
"Which movie was released first, Avengers: Endgame or Joker?","Quale film è uscito prima, Avengers Endgame o Joker?",en,it,"['O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'O']","['Which', 'movie', 'was', 'released', 'first', ',', 'Avengers:', 'Endgame', 'or', 'Joker', '?']","['Quale', 'film', 'è', 'uscito', 'prima', ',', 'Avengers', 'Endgame', 'o', 'Joker', '?']"
Was Friday the 13th released the same year as Halloween?,Venerdì 13 è uscito lo stesso anno di Halloween?,en,it,"['O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-DATE', 'O']","['B-EVENT', 'I-EVENT', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']","['Was', 'Friday', 'the', '13th', 'released', 'the', 'same', 'year', 'as', 'Halloween', '?']","['Venerdì', '13', 'è', 'uscito', 'lo', 'stesso', 'anno', 'di', 'Halloween', '?']"
